Order ID,Order Date,Origin Port,Product ID,Plant Code,Destination Port,Unit quantity,Weight,Total Weight
1447296447,5/26/2013,MIA,2,PIT,BRU,808,21.7,17533.6
1447158015,5/26/2013,SF,2,PIT,BRU,3188,21.7,69179.6
1447138899,5/26/2013,SF,1,PIT,HK,2331,14.5,33799.5
1447363528,5/26/2013,SF,2,PIT,BOM,847,21.7,18379.9
1447363981,5/26/2013,SF,1,PIT,HK,2163,14.5,31363.5
1447351441,5/26/2013,SF,1,PIT,HK,3332,14.5,48314
1447320236,5/26/2013,SF,2,PIT,BRU,1782,21.7,38669.4
1447158019,5/26/2013,MIA,2,PIT,ROM,427,21.7,9265.9
1447219341,5/26/2013,SF,1,PIT,ROM,1291,14.5,18719.5
1447398416,5/26/2013,MIA,2,PIT,BRU,2294,21.7,49779.8
1447381679,5/26/2013,MIA,1,PIT,ROM,2766,14.5,40107
1447170785,5/26/2013,SF,1,PIT,HK,798,14.5,11571
1447155056,5/26/2013,MIA,1,PIT,BOM,739,14.5,10715.5
1447257265,5/26/2013,SF,2,PIT,HK,280,21.7,6076
1447240989,5/26/2013,MIA,1,PIT,HK,574,14.5,8323
1447257231,5/26/2013,SF,1,PIT,HK,556,14.5,8062
1447260653,5/26/2013,SF,2,PIT,BOM,544,21.7,11804.8
1447139375,5/26/2013,MIA,1,PIT,HK,1151,14.5,16689.5
1447308590,5/26/2013,MIA,1,PIT,ROM,1404,14.5,20358
1447191271,5/26/2013,SF,1,PIT,HK,662,14.5,9599
1447191284,5/26/2013,SF,1,PIT,ROM,836,14.5,12122
1447352426,5/26/2013,MIA,1,PIT,ROM,2063,14.5,29913.5
1447211829,5/26/2013,MIA,1,PIT,HK,2114,14.5,30653
1447232833,5/26/2013,SF,1,PIT,HK,2108,14.5,30566
1447205081,5/26/2013,MIA,2,PIT,HK,1120,21.7,24304
1447365980,5/26/2013,SF,2,PIT,HK,706,21.7,15320.2
1447157118,5/26/2013,SF,1,PIT,BOM,889,14.5,12890.5
1447398413,5/26/2013,SF,2,PIT,BOM,1793,21.7,38908.1
1447377319,5/26/2013,SF,1,PIT,BOM,491,14.5,7119.5
1447257239,5/26/2013,SF,2,PIT,HK,1044,21.7,22654.8
1447368959,5/26/2013,SF,1,PIT,BOM,447,14.5,6481.5
1447308591,5/26/2013,MIA,2,PIT,ROM,328,21.7,7117.6
1447398479,5/26/2013,MIA,1,PIT,BOM,973,14.5,14108.5
1447377316,5/26/2013,MIA,1,PIT,BRU,1179,14.5,17095.5
1447365993,5/26/2013,MIA,2,PIT,HK,814,21.7,17663.8
1447223051,5/26/2013,MIA,2,PIT,BRU,1464,21.7,31768.8
1447260686,5/26/2013,MIA,2,PIT,ROM,347,21.7,7529.9
1447299202,5/26/2013,SF,1,PIT,BOM,771,14.5,11179.5
1447330061,5/26/2013,SF,2,PIT,BOM,469,21.7,10177.3
1447260670,5/26/2013,SF,1,PIT,BRU,382,14.5,5539
1447157119,5/26/2013,MIA,2,PIT,BOM,507,21.7,11001.9
1447205082,5/26/2013,MIA,1,PIT,HK,419,14.5,6075.5
1447398412,5/26/2013,SF,2,PIT,HK,452,21.7,9808.4
1447257238,5/26/2013,SF,2,PIT,BRU,486,21.7,10546.2
1447241003,5/26/2013,SF,1,PIT,BOM,729,14.5,10570.5
1447398481,5/26/2013,SF,1,PIT,BOM,366,14.5,5307
1447398420,5/26/2013,MIA,2,PIT,HK,539,21.7,11696.3
1447308592,5/26/2013,SF,1,PIT,ROM,304,14.5,4408
1447241005,5/26/2013,MIA,2,PIT,ROM,544,21.7,11804.8
1447191288,5/26/2013,SF,2,PIT,BRU,679,21.7,14734.3
1447232831,5/26/2013,SF,2,PIT,HK,868,21.7,18835.6
1447377317,5/26/2013,MIA,1,PIT,BRU,672,14.5,9744
1447211552,5/26/2013,MIA,2,PIT,ROM,890,21.7,19313
1447257266,5/26/2013,MIA,1,PIT,BOM,801,14.5,11614.5
1447365979,5/26/2013,SF,1,PIT,BOM,605,14.5,8772.5
1447299203,5/26/2013,SF,2,PIT,BRU,897,21.7,19464.9
1447257425,5/26/2013,MIA,2,PIT,BOM,840,21.7,18228
1447260633,5/26/2013,MIA,1,PIT,ROM,631,14.5,9149.5
1447296448,5/26/2013,SF,1,PIT,BRU,1287,14.5,18661.5
1447363577,5/26/2013,SF,2,PIT,BRU,3308,21.7,71783.6
1447320237,5/26/2013,MIA,2,PIT,BOM,2233,21.7,48456.1
1447202431,5/26/2013,SF,2,PIT,BRU,1276,21.7,27689.2
1447211553,5/26/2013,SF,2,PIT,ROM,1325,21.7,28752.5
1447219352,5/26/2013,MIA,1,PIT,BOM,735,14.5,10657.5
1447320235,5/26/2013,MIA,2,PIT,BRU,1294,21.7,28079.8
1447158020,5/26/2013,SF,1,PIT,ROM,696,14.5,10092
1447260609,5/26/2013,SF,1,PIT,BOM,3333,14.5,48328.5
1447158014,5/26/2013,SF,2,PIT,BRU,2928,21.7,63537.6
1447191275,5/26/2013,SF,2,PIT,ROM,1279,21.7,27754.3
1447170786,5/26/2013,SF,1,PIT,BOM,1320,14.5,19140
1447138897,5/26/2013,SF,2,PIT,BRU,2285,21.7,49584.5
1447240999,5/26/2013,MIA,1,PIT,HK,1819,14.5,26375.5
1447320234,5/26/2013,SF,1,PIT,BOM,339,14.5,4915.5
1447351442,5/26/2013,SF,1,PIT,BOM,4302,14.5,62379
1447381680,5/26/2013,MIA,2,PIT,BOM,3322,21.7,72087.4
1447178728,5/26/2013,SF,2,PIT,ROM,781,21.7,16947.7
1447398417,5/26/2013,MIA,1,PIT,BRU,3266,14.5,47357
1447191280,5/26/2013,MIA,1,PIT,ROM,2716,14.5,39382
